distance,relative_time_s,outlier_type
106.65,2.352754000000004,distance
106.14,2.45718899999997,distance
99.88,2.643427999999971,distance
63.63,2.682855000000017,distance
3.02,0.286714999999958,distance
106.65,2.724761999999941,distance
106.54,2.76618399999995,distance
106.54,2.954223999999953,distance
106.54,2.97523000000001,distance
107.02,3.057956999999987,distance
107.04,3.099865000000022,distance
106.16,3.34975899999994,distance
106.53,3.37076999999999,distance
106.65,3.43339400000002,distance
106.54,3.45409599999993,distance
106.71,3.53738099999998,distance
106.58,3.57950799999991,distance
106.58,3.704447999999956,distance
48.02,1.141088999999965,distance
106.14,3.829649000000017,distance
48.19,1.216106999999965,distance
107.06,3.850577999999927,distance
106.22,3.91254500000002,distance
48.46,1.356532000000015,distance
107.02,4.03731399999992,distance
48.19,1.41515199999992,distance
97.98,1.43533899999999,distance
48.04,1.452854,distance
98.57,1.47316599999999,distance
106.16,4.162193,distance
106.54,4.18290899999999,distance
48.19,1.615313000000014,distance
48.02,1.674869999999941,distance
99.04,1.69537600000001,distance
64.55,1.755443000000013,distance
48.19,1.835273000000029,distance
98.9,1.855478999999945,distance
48.02,1.872882000000004,distance
106.58,1.935313999999948,distance
106.54,2.1018299999999,distance
99.39,2.12279,distance
106.54,2.164483000000018,distance
107.15,2.206561999999962,distance
106.54,2.22746399999994,distance
106.54,2.28997199999992,distance
