unix_timestamp,time_since_midnight,distance,relative_time_us,relative_time_ms,relative_time_s,outlier_type
1748135020.512,72220.512,3.81,611099080,611099.08,0.2415619999999307,distance
1748135020.527,72220.527,3.81,611114168,611114.168,0.2566499999999223,distance
1748135020.542,72220.542,4.76,611129261,611129.261,0.2717430000000149,distance
1748135020.557,72220.557,3.02,611144233,611144.233,0.2867149999999583,distance
1748135020.573,72220.573,5.11,611159468,611159.468,0.3019499999999198,distance
1748135020.588,72220.588,4.52,611174452,611174.452,0.3169339999999465,distance
1748135020.603,72220.603,4.87,611189423,611189.423,0.3319050000000061,distance
1748135020.618,72220.618,8.35,611204694,611204.694,0.3471759999999904,distance
1748135020.633,72220.633,8.66,611220201,611220.201,0.3626829999999472,distance
1748135020.649,72220.649,8.57,611235689,611235.689,0.3781709999999521,distance
1748135020.664,72220.664,8.66,611251338,611251.338,0.3938200000000051,distance
1748135020.68,72220.68,7.19,611266873,611266.873,0.409355000000005,distance
1748135020.695,72220.695,7.96,611282194,611282.194,0.4246759999999767,distance
1748135020.711,72220.711,8.57,611297572,611297.572,0.4400539999999182,distance
1748135020.951,72220.951,30.38,611537618,611537.618,0.6800999999999249,distance
1748135020.967,72220.967,30.07,611554263,611554.263,0.6967449999999644,distance
1748135021.12,72221.12,45.24,611706944,611706.944,0.849425999999994,distance
1748135021.137,72221.137,44.95,611724261,611724.261,0.8667429999999285,distance
1748135021.299,72221.299,63.96,611886385,611886.385,1.028866999999991,distance
1748135021.318,72221.318,67.62,611904832,611904.832,1.0473140000000285,distance
1748135021.336,72221.336,71.65,611923482,611923.482,1.065964000000008,distance
1748135021.355,72221.355,73.84,611942364,611942.364,1.0848459999999704,distance
1748135021.374,72221.374,69.1,611961267,611961.267,1.1037489999999934,distance
1748135021.393,72221.393,79.09,611980560,611980.56,1.1230419999999413,distance
1748135021.411,72221.411,48.02,611998607,611998.607,1.1410889999999654,distance
1748135021.431,72221.431,84.11,612018025,612018.025,1.160506999999939,distance
1748135021.449,72221.449,61.25,612036513,612036.513,1.1789949999999862,distance
1748135021.469,72221.469,90.44,612056194,612056.194,1.1986759999999776,distance
1748135021.486,72221.486,48.19,612073625,612073.625,1.2161069999999654,distance
1748135021.506,72221.506,96.15,612093684,612093.684,1.2361660000000256,distance
1748135021.527,72221.527,98.42,612114157,612114.157,1.25663899999995,distance
1748135021.547,72221.547,99.54,612134491,612134.491,1.276972999999998,distance
1748135021.568,72221.568,105.7,612155170,612155.17,1.297651999999971,distance
1748135021.588,72221.588,106.58,612175816,612175.816,1.318298000000027,distance
1748135021.609,72221.609,107.04,612196537,612196.537,1.3390190000000075,distance
1748135021.627,72221.627,48.46,612214050,612214.05,1.3565320000000156,distance
1748135021.647,72221.647,101.33,612234536,612234.536,1.377018000000021,distance
1748135021.668,72221.668,106.53,612255237,612255.237,1.3977189999999382,distance
1748135021.685,72221.685,48.19,612272670,612272.67,1.415151999999921,distance
1748135021.705,72221.705,97.98,612292857,612292.857,1.435338999999999,distance
1748135021.723,72221.723,48.04,612310372,612310.372,1.452854000000002,distance
1748135021.743,72221.743,98.57,612330684,612330.684,1.473165999999992,distance
1748135021.764,72221.764,106.54,612351596,612351.596,1.494077999999945,distance
1748135021.785,72221.785,107.02,612372320,612372.32,1.5148019999999178,distance
